wyniki ankiety - mierniki ekonomiczne;;
id.;miara;wartość
R_001;dochody roczne;54
R_001;wydatki_na_żywność_mc;750
R_002;dochody roczne;26tys
R_002;wydatki_na_żywność_mc;2300
R_003;dochody roczne;50
R_003;wydatki_na_żywność_mc;430
R_004;dochody roczne;45
R_004;wydatki_na_żywność_mc;507
R_005;dochody roczne;28
R_005;wydatki_na_żywność_mc;750
R_006;dochody roczne;0
R_006;wydatki_na_żywność_mc;-556
R_007;dochody roczne;29 zł
R_007;wydatki_na_żywność_mc;563
R_008;dochody roczne;42
R_008;wydatki_na_żywność_mc;650
R_009;dochody roczne;30
R_009;wydatki_na_żywność_mc;650
R_010;dochody roczne;30
R_010;wydatki_na_żywność_mc;590
R_011;dochody roczne;-31
R_011;wydatki_na_żywność_mc;591
R_012;dochody roczne;30
R_012;wydatki_na_żywność_mc;750
R_013;dochody roczne;31
R_013;wydatki_na_żywność_mc;607
R_014;dochody roczne;32
R_014;wydatki_na_żywność_mc;350
R_015;dochody roczne;54
R_015;wydatki_na_żywność_mc;350
R_016;dochody roczne;32
R_016;wydatki_na_żywność_mc;656
R_017;dochody roczne;32
R_017;wydatki_na_żywność_mc;656
R_018;dochody roczne;32
R_018;wydatki_na_żywność_mc;667
R_019;dochody roczne;99
R_019;wydatki_na_żywność_mc;669
R_020;dochody roczne;54
R_020;wydatki_na_żywność_mc;669
R_021;dochody roczne;34
R_021;wydatki_na_żywność_mc;669 PLN
R_022;dochody roczne;34
R_022;wydatki_na_żywność_mc;682
R_023;dochody roczne;34
R_023;wydatki_na_żywność_mc;687
R_024;dochody roczne;35
R_024;wydatki_na_żywność_mc;690
R_025;dochody roczne;35
R_025;wydatki_na_żywność_mc;691
R_026;dochody roczne;50
R_026;wydatki_na_żywność_mc;705
R_027;dochody roczne;35
R_027;wydatki_na_żywność_mc;712
R_028;dochody roczne;35
R_028;wydatki_na_żywność_mc;713
R_029;dochody roczne;35
R_029;wydatki_na_żywność_mc;713
R_030;dochody roczne;35
R_030;wydatki_na_żywność_mc;713
R_031;dochody roczne;35
R_031;wydatki_na_żywność_mc;731
R_032;dochody roczne;35
R_032;wydatki_na_żywność_mc;740
R_033;dochody roczne;35
R_033;wydatki_na_żywność_mc;742
R_034;dochody roczne;35
R_034;wydatki_na_żywność_mc;746
R_035;dochody roczne;35
R_035;wydatki_na_żywność_mc;748
R_036;dochody roczne;35
R_036;wydatki_na_żywność_mc;753
R_037;dochody roczne;35
R_037;wydatki_na_żywność_mc;755
R_038;dochody roczne;35
R_038;wydatki_na_żywność_mc;757
R_039;dochody roczne;38
R_039;wydatki_na_żywność_mc;761
R_040;dochody roczne;38
R_040;wydatki_na_żywność_mc;762
R_041;dochody roczne;38
R_041;wydatki_na_żywność_mc;769
R_042;dochody roczne;38
R_042;wydatki_na_żywność_mc;771
R_043;dochody roczne;38
R_043;wydatki_na_żywność_mc;778
R_044;dochody roczne;39
R_044;wydatki_na_żywność_mc;783
R_045;dochody roczne;39
R_045;wydatki_na_żywność_mc;783
R_046;dochody roczne;39
R_046;wydatki_na_żywność_mc;784
R_047;dochody roczne;39
R_047;wydatki_na_żywność_mc;786
R_048;dochody roczne;39
R_048;wydatki_na_żywność_mc;792
R_049;dochody roczne;39
R_049;wydatki_na_żywność_mc;801
R_050;dochody roczne;40
R_050;wydatki_na_żywność_mc;804
R_051;dochody roczne;40
R_051;wydatki_na_żywność_mc;808
R_052;dochody roczne;40
R_052;wydatki_na_żywność_mc;808
R_053;dochody roczne;41
R_053;wydatki_na_żywność_mc;815
R_054;dochody roczne;41
R_054;wydatki_na_żywność_mc;816
R_055;dochody roczne;41
R_055;wydatki_na_żywność_mc;823
R_056;dochody roczne;41
R_056;wydatki_na_żywność_mc;826
R_057;dochody roczne;41
R_057;wydatki_na_żywność_mc;829
R_058;dochody roczne;41
R_058;wydatki_na_żywność_mc;829
R_059;dochody roczne;41
R_059;wydatki_na_żywność_mc;829
R_060;dochody roczne;33
R_060;wydatki_na_żywność_mc;831
R_061;dochody roczne;42
R_061;wydatki_na_żywność_mc;833
R_062;dochody roczne;42
R_062;wydatki_na_żywność_mc;844
R_063;dochody roczne;42
R_063;wydatki_na_żywność_mc;844
R_064;dochody roczne;43
R_064;wydatki_na_żywność_mc;845
R_065;dochody roczne;43
R_065;wydatki_na_żywność_mc;846
R_066;dochody roczne;43
R_066;wydatki_na_żywność_mc;855
R_067;dochody roczne;43
R_067;wydatki_na_żywność_mc;863
R_068;dochody roczne;43
R_068;wydatki_na_żywność_mc;865
R_069;dochody roczne;43
R_069;wydatki_na_żywność_mc;865
R_070;dochody roczne;43
R_070;wydatki_na_żywność_mc;875
R_071;dochody roczne;44
R_071;wydatki_na_żywność_mc;876
R_072;dochody roczne;44
R_072;wydatki_na_żywność_mc;876
R_073;dochody roczne;44
R_073;wydatki_na_żywność_mc;876
R_074;dochody roczne;44
R_074;wydatki_na_żywność_mc;878
R_075;dochody roczne;44
R_075;wydatki_na_żywność_mc;881
R_076;dochody roczne;44
R_076;wydatki_na_żywność_mc;884
R_077;dochody roczne;44
R_077;wydatki_na_żywność_mc;885
R_078;dochody roczne;0
R_078;wydatki_na_żywność_mc;891
R_079;dochody roczne;45
R_079;wydatki_na_żywność_mc;896
R_080;dochody roczne;45
R_080;wydatki_na_żywność_mc;896
R_081;dochody roczne;45
R_081;wydatki_na_żywność_mc;898
R_082;dochody roczne;45
R_082;wydatki_na_żywność_mc;901
R_083;dochody roczne;45
R_083;wydatki_na_żywność_mc;910
R_084;dochody roczne;45
R_084;wydatki_na_żywność_mc;928
R_085;dochody roczne;46
R_085;wydatki_na_żywność_mc;930
R_086;dochody roczne;46
R_086;wydatki_na_żywność_mc;931
R_087;dochody roczne;46
R_087;wydatki_na_żywność_mc;936
R_088;dochody roczne;47
R_088;wydatki_na_żywność_mc;939
R_089;dochody roczne;47
R_089;wydatki_na_żywność_mc;941
R_090;dochody roczne;47
R_090;wydatki_na_żywność_mc;943
R_091;dochody roczne;47
R_091;wydatki_na_żywność_mc;945
R_092;dochody roczne;47
R_092;wydatki_na_żywność_mc;947
R_093;dochody roczne;48
R_093;wydatki_na_żywność_mc;956
R_094;dochody roczne;48
R_094;wydatki_na_żywność_mc;961
R_095;dochody roczne;48
R_095;wydatki_na_żywność_mc;962
R_096;dochody roczne;48
R_096;wydatki_na_żywność_mc;968
R_097;dochody roczne;49
R_097;wydatki_na_żywność_mc;982
R_098;dochody roczne;49
R_098;wydatki_na_żywność_mc;984
R_099;dochody roczne;42
R_099;wydatki_na_żywność_mc;986
R_100;dochody roczne;50
R_100;wydatki_na_żywność_mc;988
R_101;dochody roczne;50
R_101;wydatki_na_żywność_mc;992
R_102;dochody roczne;50
R_102;wydatki_na_żywność_mc;998
R_103;dochody roczne;51
R_103;wydatki_na_żywność_mc;1002
R_104;dochody roczne;0
R_104;wydatki_na_żywność_mc;1002
R_105;dochody roczne;52
R_105;wydatki_na_żywność_mc;1011
R_106;dochody roczne;52
R_106;wydatki_na_żywność_mc;1011
R_107;dochody roczne;52
R_107;wydatki_na_żywność_mc;1020
R_108;dochody roczne;54
